id	name en	question en	name cs	question cs	description cs	návrh doprovodného textu	poznámky/možnosti/postřehy	další poznámky	name sk	question sk	description sk
			Dohoda EU-USA	Smlouva o "Transatlantickém partnerství pro obchod a investice" (TTIP) mezi EU a USA by měla být schválena.	Zastánci dohody argumentují, že posílí ekonomiku EU. Kritici varují, že EU ani její členské státy nebudou moci např. účinně regulovat těžbu břidlicového plynu, pěstování geneticky upravených plodin nebo finanční sféru.	Zastánci dohody argumentují, že posílí ekonomiku EU. Kritici varují, že EU ani její členské státy nebudou moci např. účinně regulovat těžbu břidlicového plynu, pěstování geneticky upravených plodin nebo finanční sféru.					
			Dálniční známka 	Měla by existovat speciální dálniční známka (nebo podobný systém) platná v celé EU 	V současné době v 7 zemích EU existují dálniční známky a v dalších 10 se platí mýtné. Naopak povinné ručení - "zelená karta" - platí po celé EU. 	V současné době v sedmi zemích EU existují dálniční známky a v dalších deseti se platí mýtné. Naopak povinné ručení - "zelená karta" - platí po celé EU. 					
			Žárovky	Prodej žárovek nad 60W by měl být opět povolen.	Nařízení EU zakazuje prodej žárovek nad 60W. Bylo zavedeno z důvodu omezení plýtvání energií. Podobné platí např. i ve Švýcarsku, Rusku, Austrálii, Kanadě nebo Brazílii. Oponenti argumentují, že alternativy k žárovce jsou dražší a nehodí se na všechna použití. 	Nařízení EU zakazuje prodej žárovek nad 60W. Podobné opatření platí např. i ve Švýcarsku, Rusku, Austrálii, Kanadě nebo Brazílii. Podle zastánců se díky tomu šetří energie. Oponenti argumentují, že alternativy k žárovce jsou dražší a nehodí se na všechna použití.		Text otázky je obvious bullshit, každý na to řekne "včera jsem si koupil žárovku v pohodě". Ty detaily musí být rovnou v textu otázky.			
			Policie EU	Měla by se zvětšit policie EU. 	V současné době na úrovni EU působí jen Europol s méně než 1000 zaměstnanců. Podle zastánců by zvětšení této instituce zvýšilo bezpečnost, podle odpůrců by policie měla zůstat v pravomoci členských států.	V současné době na úrovni EU působí jen Europol s méně než 1000 zaměstnanců. Podle zastánců by zvětšení této instituce zvýšilo bezpečnost, podle odpůrců by policie měla zůstat v pravomoci členských států.		Otázka nejasná. Navíc Europol je spíš o policejní spolupráci, není to přímo "policie" v běžném slova smyslu. Spíš bych se ptal na úřad evropského žalobce.			
			Nižší dotace pro zemědělství	Dotování zemědělců z peněz EU by se mělo snížit.	Více jak 1/3 rozpočtu EU jde na podporu zemědělství, z největší části na přímé dotace zemědělcům. Podle zastánců podpora zemědělství zvyšuje soběstačnost EU oproti dovozu potravin ze zemí mimo EU a zvyšuje životní úroveň na venkově. Podle odpůrců je příliš nákladná a zvyšuje ceny pro zákazníky.	Více jak 1/3 rozpočtu EU jde na podporu zemědělství, z největší části na přímé dotace zemědělcům. Podle zastánců podpora zemědělství zvyšuje soběstačnost EU oproti dovozu potravin ze zemí mimo EU a zvyšuje životní úroveň na venkově. Podle odpůrců je příliš nákladná a zvyšuje ceny pro zákazníky.					
			Data o cestujících do USA	Letecké společnosti by měly dále posílat data o cestujících do USA.	Letecké společnosti jsou nyní nuceny posílat veškeré údaje o cestujících do USA tamnímu Ministerstvu vnitřní bezpečnosti, které je dle dohody s EU legálně ukládá na 10 let. Zastánci obhajují opatření bojem proti terorismu. Oponenti ukazují na slabou ochranu těchto dat proti zneužití.	Letecké společnosti jsou nyní nuceny posílat veškeré údaje o cestujících do USA tamnímu Ministerstvu vnitřní bezpečnosti, které je dle dohody s EU legálně ukládá na 10 let. Zastánci obhajují opatření bojem proti terorismu. Oponenti ukazují na slabou ochranu těchto dat proti zneužití.					
			Délka copyrightu	Doba ochrany autorských děl by se měla v EU zkrátit.	Autorská díla jako knihy nebo filmy jsou v EU chráněna po dobu 70 let od úmrtí autora, hudba po dobu 50 let. Obhájci argumentují tím, že bez takové ochrany by některá díla ani nevznikla. Kritici upozorňují, že takto dlouhá ochrana omezuje tvorbu odvozených děl a že tato ochrana původně fungovala jen jako ochrana autora před vydavatelem, nikolv pro nekomerční využití.  						
			Omezení volného pohybu pracovníků	Země EU by měly mít možnost omezit zaměstnávání občanů z jiných zemí EU. 	Volný pohyb zaměstnanců (možnost být zaměstnán v jakékoliv zemi EU) je jednou ze základních svobod v EU. Kritici argumentují např. zneužíváním sociálního systému cílové země. Obhájci ukazují, že země, kde lidé z jiných zemí pracují, na tom celkově ekonomicky vydělává. 						
			Fiskální pakt	ČR by měla přistoupit k tzv. Fiskálnímu paktu	Tzv. Fiskální pakt podepsaly všechny země EU mimo ČR a Velkou Británii. Pakt mj. určuje omezení na schodek státních rozpočtů zemí EU (0.5 - 1 % z HDP). Nedodržení může vést k finančním sankcím, ale jen pro země platící eurem. Oponenti ukazují na podřízení státního rozpočtu Evropské komisi. Obhájci říkají, že zamezí vládám nadměrně zadlužovat zemi. 	http://ec.europa.eu/economy_finance/articles/governance/2012-03-14_six_pack_en.htm					
			Tuzemský rum a pomazánkové máslo 	EU by měla přestat určovat podrobné normy pro potraviny.	V EU existují normy, které mj. vyhrazují prodejní označení 'máslo' pro produkty obsahující alespoň 80 % mléčného tuku, odtud povinnost stáhnout název 'pomazánkové máslo', které obsahuje tuku výrazně méně. Podobně 'rum' musí obsahovat alkohol z cukrové třtiny, čemuž tak není v případě 'tuzemského rumu'. 	http://europa.eu/rapid/press-release_IP-10-1224_cs.htm					
	Euro		Euro	V České republice by se mělo zavést Euro do roku 2020.	Eurem se platí v 18 zemích EU a několika dalších mimo EU. Ze sousedních zemí se Euro používá v Německu, Rakousku, na Slovensku, ale v Polsku ne. Členské státy se vstupem do EU zavázaly k přijetí Eura. Podle zastáncl by přijetí Eura bylo ekonomicky výhodné, podle odpůrců tomu tak není.	Eurem se platí v 18 zemích EU a několika dalších mimo EU. Ze sousedních zemí se Euro používá v Německu, Rakousku, na Slovensku, ale v Polsku ne. Členské státy se vstupem do EU zavázaly k přijetí Eura. Podle zastáncl by přijetí Eura bylo ekonomicky výhodné, podle odpůrců tomu tak není.		není v pravomoci EU			
	Euro								Slovenská koruna	Slovensko by sa malo vrátiť ke Korune	
	Crisis in Ukraine	EU should not react to Russian actions around the crisis in Ukraine.	Krize na Ukrajině	EU by neměla nijak reagovat na postup Ruska v souvislosti s krizí na Ukrajině.		V reakci na protesty na Ukrajině Rusko vyslalo vojenské jednotky na Krym, který vyhlásil nezávislost. Existuje možnost, že Rusko vyšle vojáky i na východ Ukrajiny. Podle zastánců RUsko má právo bránit rusky hovořící obyvatele Ukrajiny. Podle odpůrců Rusko nemá právo vysílat vojska na území cizích států.	Téma dobré, ale otázka se mi nezdá: nějaká reakce musí být, třeba i jen uznání Krymu v Rusku nebo naopak neuznání - ale i to je pak reakce. Podle mě taková věc nejde zcela ignorovat ryze z praktických důvodů. 				
